"name","codigo","allergies_risk","cancer_risk","development_risk","endocryne_risk","env_risk","prohibited_risk","score"
"Dove Crema Corporal Cuida y Protege","466",7.8055553,0.22222224,0,0,0.33333334,6.888889,9.152778
"Dove Delicious Care Crema Corporal Nutrirtiva Aceite de Karité y Vainilla","8711600369283",4.571429,0.20714286,0.85714287,2.4285715,3.7142856,4.785714,8.816836
"Dove Delicious Care Crema Corporal Nutritiva Leche de Coco y Pétalos de Jazmín","468",5.25,0.24375,0.875,2.625,4.625,5.375,8.812891
"Dove Nutrición Intensiva Crema Corporal","8711600453975",10.932432,0.6,2.2702703,3.081081,15.567568,11.378378,8.8154125
"Dove Nutrición Go Fresh Crema Corporal","470",5,0.02666667,0.8666667,1.2,4.533334,4.7333336,8.909333
"Dove Nutrición Esencial Crema Corporal","8711600368804",6.711765,0.21176472,0.7647059,1.1764706,4.1764708,7.5294123,8.789966
"Loción corporal piña y limón Sante","4025089078920",4.2000003,0,0,0,1.2,2.3,9.23
"Emulsión Corporal Hidratante Naobay","8436568900810",6.0545454,0,0,0,1.409091,4.5454545,9.454132
"Crema Corporal Camelia Japonesa Organic Shop","4743318166728",3.4869564,0,0,0,1.0869565,5.043478,9.581853
"Gel de Aloe Vera 99% Ecológico Kueshi","8400101999869",4.2875,0,0,0,2.25,4,8.682813
"Loción corporal abedul nórdico para piel seca Urtekram","5765228837276",0,0,0,0,0,0,10
"Crema Corporal Aloe Vera Urtekram","5765228837269",1.5,0,0,0,1.9444445,0.6666667,9.771605
"Loción corporal de Coco Urtekram","5765228837870",0,0,0,0,0,0,10
"Cremas Naturales Marcela","NREG480",1.5,0,0,0,0.16666667,1,9.555555
"Goicochea Ultranutritiva","7798140251705",8.515152,0.4030303,0.90909094,2.878788,5.393939,8.60606,9.190725
"Neutrogena Body care Intensive","7891010253899",10.0625,0.175,0.5625,0,4.9375,5.8125,8.653125
"Rosehip Serum humectante con vitamina","779911",5.3636365,0.29545456,1.5,0,2.9090908,3.6454544,9.376653
"Rosehip Serum seborregulador y protector","779912",0.6666667,0,0,0,0,0,9.925926
"Producto 2","NREG779919",0.75,0,0,0,0,0.6666667,9.763889
"Poducto 1","NREG779920",0.625,0,1.375,0.75,3.375,1.75,9.015625
"Skin matters cera preventiva para mama","750946",1.0714287,0,0,0,0.5,1.9285715,9.75
"Ocean skin Manteca Corporal Ultra Nutritiva - Pure Elixir","779966",0,0,0,0,0,0,10
"Botane crema corporal vié mystiq","779967",1.89375,0.0625,0.5,0,1.25,0.8125,9.717578
"FRONDA CREMA DE MANOS","779971",0,0,0,0,0.8,0,9.92
"Viasek gel","779994",6.56,0.21,0,0,3.6999998,0.8,8.873
"TICA CREMA HIDRATANTE UV","7791006",4.736842,0.4,0.84210527,0,1.1578947,4.3684206,9.39446
"Tiendas green Crema Corporal Antioxidante – Matcha y Albahaca","7791062",4.042308,0,1.1538461,1.1538461,2.2307692,6.153846,9.433284
"Véritas cuidado esencial crema corporal piel extra seca","7791520006193",8.952381,0.22380953,0,1.7619048,7.142857,7.4761906,8.782993
"Cuidado integral vegano baño de crema sólido variedad curly","7791091",4.0833335,0,0,0,3,1.5,8.569445
"Cuidado integral vegano baño de crema sólido variedad fino y quebradizo","7791092",3.5625,0,0,0,3,1.375,9.0078125
"Cuidado integral vegano baño de crema variedad reparación extrema","7791093",2.642857,0,0,0,3,1.4285715,8.989796
"Colibria crema nutritiva","7791095",0.8,0,0,0,1.4000001,0.4,9.48
"Ocean skin exfoliante espumoso e hidrante corporal lavanda y arbol de te","7791098",3.4444447,0,0,0,1.3333335,1.4444445,9.308641
"Ocean skin manteca corporal emulsionada ultra nutritiva coconut","7791099",0.7777778,0,0,0,2.1111112,0.11111111,9.666667
"Midnight Recovery Omega Rich Botanical Night Cream","7791102",4.6764708,0.19411765,0.7058824,0,2,4.117647,9.656055
"La roche posay balsamo reparador calmante","3337872412998",5.764,0.136,0.96,0,3.9199998,1.8,9.4968
"Villeneuve crema corporal hidratada","7793008017240",5.892857,0.12857144,0.5,0,2.5,2.7142859,9.161735
"ANTITRANSPIRANTE DOVE GO FRESH","77942333",8.409091,0.53636366,0,0,6.6363635,6.636364,7.9801655
"Antitranspirante bolilla Etiquet Men","7794640630507",4.45,0.46,0.8,0.8,6.5,4,8.299
"Rexona Clinical Aerosol Classic","7791293037813",7.2619057,1.6571429,0.9047619,1.3809524,8.095239,13.761905,8.425624
"Rexona Men Clinical Aerosol","7791293037844",7.714286,1.5857142,0.9047619,1.3809524,7.285714,14.333334,8.418821
"Corpore Sano Desodorante roll-on árbol de té","8414002084838",8.215385,0.0923077,0,0,5.0000005,3.5384617,8.704142
"Urtekram Desodorante Roll-On Rosas","5765228837610",3.1111114,0.08888889,0,0,3,0.22222222,9.28642
"Weleda Desodorante de Citrus","4001638097079",10.285715,0,0,0,0.42857146,4,7.8979588
