"name","numero_ingredientes","codigo","allergies_risk","cancer_risk","development_risk","endocryne_risk","env_risk","prohibited_risk","score"
"Estrella baby emulsión limpiadora a base de oleo carcáro",13,"7790064104808",1.0111111,0,0,4.666667,1.3333334,2.5555556,6.1958723
"Oliva 60 Barra de Shampoo",16,"7502292420083",1.6071429,0,0,0,0.78571427,1.6428572,8.395223
"AloeVida crema nutritiva para manos",21,"7503013962370",4.2777777,0,0,0,3.8333333,3.9444447,5.2061806
"Botik Balsamo Labial Color",15,"608037549631",1.4545455,0,0.90909094,0,4.090909,0.90909094,7.0718937
"Mylo Jabon Vegano neutro",6,"7791147",0,0,0,0,0,0.75,9.701767
"Mujeres magicas Baño nutritivo ARCOIRIS",13,"7791148",5.45,0.56000006,0,0.5,5.4,2.1,4.4290066
"Estrella Baby Shampoo cabellos suaves con vitamina E",16,"7790064007000",10.083333,0.38333333,0,0.16666667,3.4166667,5.4166665,2.2591968
"Naturalú vitaminic essence",9,"790757872639",0.060000002,0,0,0,0,1.4000001,9.419439
"Vespero shampoo ortiga y romero",25,"7791151",16.568184,0.5590909,0,0,6.136364,8.181818,-2.504098
"Dekka Serum Capilar",16,"7798361730058",6.909092,0,0,0,1.0909091,4.6363635,4.9752245
"Capilatis enjuague para cabellos tenidos",19,"7792640002416",11.9,0,0,0.9333334,6.7999997,3.5333333,0.7879133
"Villeneuve crema corporal hidratada",15,"7793008017240",6.346154,0.13846155,0.53846157,0,2.692308,2.923077,4.974391
"Aveno infantil acondicionador para piel sensible",14,"7793742005442",1.9545455,0,0,0,1.1818182,3.1818185,7.4876127
"Tierra Pura Crema Santa de Caléndula y Lavanda",8,"7791156",0,0,0,0,0,0,10
"Acondicionado Duga Niños",13,"7791157",1.7142859,0,0,0,1,2.6142857,7.8811255
"Duga shampoo Niños",9,"7791154",3.5833335,0,0,0,0,2.5333335,7.567744
"Cuidado Integral vegano jabon artesanal lavanda",7,"7791160",1.125,0,0,0,0,1.5,8.956184
"DUGA COLONIA INFANTIL VEGANA",7,"7791161",6,0,0,0,0,1.8000001,6.8983765
"BioBellus gel de limpieza facial",20,"7791162",4.3125,0.09375,0,0,2.25,4.04375,5.7452087
"Kosmos gel de limpieza facial",17,"7791163",4.3333335,0,2,0,3.1333334,1.0733334,5.808832
"Daori Desodorante Lavanda & Salvia en barra",18,"7791165",6.7666664,0,0.73333335,0,1.1333334,4.666667,4.7113347
"Daori Desodorante Lemongrass & Cedro en barra",18,"7791166",7.2499995,0,0.78571427,0,1.2142857,5,4.333573
"Daori Shampoo sólido lavanda & salvia",11,"7791167",4.75,0,0,0,1.75,2.125,6.57032
"Farmacity jabon de glicerina neutro",12,"77913104",0.7777778,0.1,0.22222222,0.6666667,0.44444445,0.6666667,8.855669
"COLGATE ZERO KIDS FRESA PASTA DENTAL",9,"7509546665238",3.5714288,0,0,0,1.1428572,2.4285715,7.1596856
"Sanicare emulsion limpiadora a base de oleo calcareo BEBES",19,"7798062052503",3.9642859,0.3214286,0,3.9285715,4.1428576,2.2857144,4.177355
"Acf gel de doble limpieza",13,"7798111210885",7.090909,0,0,0,3.909091,4.7272725,3.7461438
